iter	Passed	Remaining
0	1	113
1	2	98
2	2	90
3	3	82
4	4	80
5	5	78
6	5	77
7	6	75
8	7	74
9	8	72
10	8	71
11	9	70
12	10	68
13	10	67
14	11	66
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	53
30	23	52
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	46
40	31	45
41	32	44
42	33	43
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	57	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
