iter	Passed	Remaining
0	145	145483
1	147	73584
2	148	49516
3	150	37441
4	151	30150
5	152	25255
6	153	21830
7	155	19246
8	157	17342
9	158	15694
10	159	14340
11	160	13215
12	161	12263
13	162	11464
14	164	10775
15	165	10162
16	166	9617
17	167	9133
18	168	8715
19	169	8328
20	171	7978
21	172	7653
22	173	7352
23	174	7085
24	175	6837
25	176	6598
26	177	6382
27	178	6182
28	179	5999
29	180	5828
30	181	5668
31	182	5524
32	183	5385
33	185	5260
34	186	5137
35	187	5020
36	188	4907
37	189	4801
38	190	4704
39	192	4610
40	193	4518
41	194	4430
42	195	4343
43	196	4263
44	197	4190
45	198	4126
46	200	4056
47	201	3991
48	202	3925
49	203	3860
50	204	3798
51	204	3736
52	205	3677
53	206	3619
54	207	3564
55	208	3510
56	209	3458
57	209	3409
58	210	3361
59	212	3323
60	213	3281
61	214	3242
62	215	3207
63	216	3171
64	218	3136
65	219	3102
66	220	3068
67	221	3032
68	222	2999
69	223	2966
70	224	2934
71	225	2904
72	226	2878
73	227	2849
74	228	2822
75	229	2794
76	230	2767
77	231	2741
78	233	2717
79	233	2690
80	234	2665
81	235	2640
82	236	2611
83	237	2586
84	238	2562
85	238	2538
86	239	2515
87	240	2492
88	241	2475
89	243	2457
90	244	2440
91	245	2421
92	246	2404
93	247	2384
94	248	2364
95	249	2345
96	249	2325
97	250	2306
98	251	2289
99	252	2273
100	253	2257
101	254	2242
102	255	2225
103	256	2209
104	257	2195
105	258	2180
106	259	2164
107	260	2148
108	261	2133
109	261	2119
110	262	2104
111	263	2089
112	264	2074
113	264	2059
114	265	2044
115	266	2030
116	267	2015
117	267	2002
118	268	1989
119	269	1976
120	270	1963
121	270	1949
122	272	1940
123	273	1930
124	274	1919
125	275	1909
126	276	1897
127	276	1885
128	277	1874
129	278	1863
130	279	1852
131	280	1842
132	280	1831
133	282	1822
134	282	1812
135	283	1801
136	284	1792
137	285	1782
138	286	1773
139	287	1766
140	288	1757
141	289	1746
142	289	1737
143	290	1728
144	291	1719
145	292	1710
146	293	1701
147	293	1692
148	294	1682
149	295	1673
150	296	1665
151	297	1657
152	297	1648
153	298	1639
154	299	1631
155	299	1622
156	300	1614
157	301	1607
158	302	1601
159	303	1595
160	304	1586
161	305	1580
162	306	1573
163	307	1566
164	308	1558
165	308	1551
166	309	1544
167	310	1537
168	311	1531
169	312	1524
170	313	1518
